node1	node2	edge	edge_descrip	layer_descrip
AT1G32500	AT3G10670	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G51740	AT3G47700	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G55490	AT2G39730	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G58290	AT3G14110	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G61660	AT4G02590	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G63990	AT3G20780	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G64620	AT4G02590	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G65470	AT5G64630	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G15430	AT3G52090	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G29570	AT5G44740	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G39290	AT3G19820	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G39550	AT3G59380	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G02850	AT5G37500	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G03200	AT5G50820	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G11730	AT5G43900	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G14230	AT3G58040	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G24315	AT3G47700	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G09550	AT5G62690	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G10920	AT5G09250	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G19170	AT5G17790	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G29940	AT5G09250	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G36290	AT5G43470	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G37930	AT5G04140	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G03530	AT5G43900	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G05620	AT5G62700	4.3605916318466	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G04400	AT4G34530	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G18350	AT1G73670	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G21250	AT2G05380	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G25330	AT1G73830	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G32530	AT5G48720	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G53650	AT1G71770	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G63440	AT2G31650	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G65480	AT4G25530	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G68640	AT2G41370	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G68640	AT3G57130	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G74470	AT4G17600	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G74470	AT5G47110	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G03190	AT4G11590	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G27040	AT5G04290	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G37630	AT3G29390	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G37630	AT5G66870	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G45640	AT3G15210	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G01770	AT5G67480	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G08850	AT5G61960	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G18524	AT3G24495	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G18524	AT4G02070	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G18524	AT4G25540	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G22680	AT5G14620	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G25230	AT5G48570	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G45140	AT4G18040	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G45140	AT5G18110	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G50960	AT5G44340	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G02770	AT4G35760	4.3342283268536	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
